Country Code,Indicator,Year,Value
RUS,GDP growth (annual %),2021,5.61429037578345
RUS,GDP growth (annual %),2020,-2.65365450102773
RUS,GDP growth (annual %),2019,2.19807571335009
RUS,GDP growth (annual %),2018,2.80724541059601
RUS,GDP growth (annual %),2017,1.82579006401834
RUS,GDP growth (annual %),2016,0.193690071260534
RUS,GDP growth (annual %),2015,-1.97271922580408
RUS,GDP growth (annual %),2014,0.736267221765672
RUS,GDP growth (annual %),2013,1.75542214874298
RUS,GDP growth (annual %),2012,4.02408615746921
RUS,GDP growth (annual %),2011,4.30002918567749
RUS,GDP growth (annual %),2010,4.49999999920672
RUS,GDP growth (annual %),2009,-7.79999391271275
RUS,GDP growth (annual %),2008,5.19996926404957
RUS,GDP growth (annual %),2007,8.49997776916511
RUS,GDP growth (annual %),2006,8.20006825456321
RUS,GDP growth (annual %),2005,6.39996544799469
RUS,GDP growth (annual %),2004,7.19994786954857
RUS,GDP growth (annual %),2003,7.29995234528189
RUS,GDP growth (annual %),2002,4.69999190914258
RUS,GDP growth (annual %),2001,5.10005122572568
RUS,GDP growth (annual %),2000,10.0000668136515
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,4.72
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.59
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.5
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.85
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,5.21
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,5.56
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2015,5.57
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2014,5.16
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2013,5.46
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2012,5.44
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2011,6.54
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2010,7.37
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2009,8.3
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2008,6.21
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2007,6
RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2006,7.06
